player,date,score
Messi,20-09-27,9
Messi,20-10-01,9
Messi,20-10-04,7
Messi,20-10-17,3
Messi,20-10-24,3
Messi,20-10-31,3
Messi,20-11-07,15
Messi,20-11-21,1
Messi,20-11-29,14
Messi,20-12-05,5
Messi,20-12-13,10
Messi,20-12-16,5
Messi,20-12-19,6
Messi,20-12-22,15
Messi,20-12-29,-
Messi,21-01-03,8
Messi,21-01-06,17
Messi,21-01-09,17
Messi,21-01-24,-
Messi,21-01-31,10
Messi,21-02-07,13
Messi,21-02-13,18
Messi,21-02-21,9
Messi,21-02-24,17
Messi,21-02-27,13
Messi,21-03-06,9
Messi,21-03-15,18
Messi,21-03-21,18
Messi,21-04-05,3
Messi,21-04-10,5
Messi,21-04-22,18
Messi,21-04-25,5
Messi,21-04-29,10
Messi,21-05-02,13
Messi,21-05-08,5
Messi,21-05-11,8
Messi,21-05-16,8
Messi,21-05-22,-
