Transfer Time,Player,Transfer amount,Seller,Buyer
21/05/2021 - 06:38,Coke,2.241.373 €,futmondo,Jon Arrieta
20/05/2021 - 07:11,Mickaël Malsa,5.273.093 €,Javier Urrestarazu García,futmondo
20/05/2021 - 07:11,Albiol,11.810.735 €,Javier Urrestarazu García,futmondo
20/05/2021 - 07:06,Roberto Torres,10.220.270 €,Jon Arrieta,futmondo
20/05/2021 - 07:00,Berenguer,30.890.997 €,Jon Arrieta,futmondo
20/05/2021 - 06:37,Modric,63.333.333 €,futmondo,Jon Arrieta
20/05/2021 - 06:37,Kevin Vázquez,2.309.009 €,futmondo,Iñigo Baquedano
20/05/2021 - 06:37,Suso Fernández,35.700.001 €,futmondo,Javier Urrestarazu García
19/05/2021 - 07:17,Vavro,1.521.191 €,Jon Arrieta,futmondo
18/05/2021 - 06:36,Racic,3.100.000 €,futmondo,Tito Floren
18/05/2021 - 06:36,Maxi Gómez,25.555.555 €,futmondo,Jon Arrieta
17/05/2021 - 07:41,Acuña,24.036.160 €,Jon Arrieta,futmondo
17/05/2021 - 06:35,Dani Calvo,3.409.009 €,futmondo,Iñigo Baquedano
16/05/2021 - 22:06,Gazzaniga,1.216.365 €,Juanjo,futmondo
16/05/2021 - 17:24,Óscar Duarte,1.800.000 €,Juanjo,jose_00014
16/05/2021 - 06:36,Solari,2.258.655 €,futmondo,Juanjo
16/05/2021 - 06:36,Edu Expósito,6.001.000 €,futmondo,Jon Arrieta
16/05/2021 - 06:36,Felipe,4.182.888 €,futmondo,Juanjo
15/05/2021 - 11:05,Kroos,48.567.405 €,Jon Arrieta,futmondo
14/05/2021 - 06:36,Kroos,60.638.888 €,futmondo,Jon Arrieta
14/05/2021 - 00:19,Víctor Díaz,1.041.442 €,Iñigo Baquedano,futmondo
13/05/2021 - 06:35,Mikel Rico,7.176.586 €,futmondo,ANDEReibar
12/05/2021 - 23:01,Lemar,17.048.504 €,Jorge Solitario,futmondo
12/05/2021 - 23:01,Pablo Ínsua,1.008.790 €,Jorge Solitario,futmondo
12/05/2021 - 06:35,Enes Ünal,2.666.666 €,futmondo,Jon Arrieta
12/05/2021 - 06:35,Mosquera,7.300.000 €,futmondo,Jorge Solitario
11/05/2021 - 15:00,Óscar Duarte,2.000.000 €,jose_00014,Juanjo
11/05/2021 - 13:05,Dani Calvo,2.167.025 €,Iñigo Baquedano,futmondo
11/05/2021 - 13:04,Rubén Sobrino,2.618.639 €,Iñigo Baquedano,futmondo
11/05/2021 - 13:04,David García,18.144.888 €,Iñigo Baquedano,futmondo
11/05/2021 - 08:47,Kodro,1.012.109 €,Tito Floren,futmondo
11/05/2021 - 07:10,Pulido,2.856.704 €,Iñigo Baquedano,futmondo
11/05/2021 - 07:10,José Mari,3.167.627 €,Iñigo Baquedano,futmondo
11/05/2021 - 06:36,Maffeo,15.709.009 €,futmondo,Iñigo Baquedano
11/05/2021 - 06:36,Militao,22.109.009 €,futmondo,Iñigo Baquedano
11/05/2021 - 06:36,Helibelton Palacios,1.325.000 €,futmondo,jose_00014
10/05/2021 - 15:45,Isco,1.272.301 €,Tito Floren,futmondo
09/05/2021 - 21:29,Mingueza,21.984.594 €,Juanjo,futmondo
09/05/2021 - 08:11,Mosquera,5.988.742 €,ANDEReibar,futmondo
09/05/2021 - 08:11,Soldado,3.680.907 €,ANDEReibar,futmondo
09/05/2021 - 08:10,Pacheco,10.065.478 €,ANDEReibar,futmondo
09/05/2021 - 08:10,Salvi,8.205.636 €,ANDEReibar,futmondo
09/05/2021 - 06:35,Roberto Torres,13.333.333 €,futmondo,Jon Arrieta
09/05/2021 - 06:35,Kike García,37.500.000 €,futmondo,ANDEReibar
08/05/2021 - 23:52,Rubén García,37.366.548 €,Jon Arrieta,futmondo
08/05/2021 - 22:44,Josema,1.212.292 €,Juanjo,futmondo
08/05/2021 - 08:04,Chukwueze,10.503.989 €,Jon Arrieta,futmondo
08/05/2021 - 06:34,Brasanac,2.397.549 €,futmondo,Juanjo
07/05/2021 - 07:11,Marcos André,1.024.454 €,Juanjo,futmondo
07/05/2021 - 07:10,Blanco,1.044.285 €,Juanjo,futmondo
07/05/2021 - 06:37,Brais Méndez,26.209.009 €,futmondo,Iñigo Baquedano
07/05/2021 - 06:37,Martín,1.300.000 €,futmondo,Jorge Solitario
06/05/2021 - 06:37,Jaime Mata,7.309.009 €,futmondo,Iñigo Baquedano
06/05/2021 - 06:37,Víctor Díaz,1.809.009 €,futmondo,Iñigo Baquedano
