Player,Seller,Buyer,Date,Time,Transfer
Coke,1,0,21/05/2021,06:38,2241373
Mickaël Malsa,3,1,20/05/2021,07:11,5273093
Albiol,3,1,20/05/2021,07:11,11810735
Roberto Torres,0,1,20/05/2021,07:06,10220270
Berenguer,0,1,20/05/2021,07:00,30890997
Modric,1,0,20/05/2021,06:37,63333333
Kevin Vázquez,1,2,20/05/2021,06:37,2309009
Suso Fernández,1,3,20/05/2021,06:37,35700001
Vavro,0,1,19/05/2021,07:17,1521191
Racic,1,4,18/05/2021,06:36,3100000
Maxi Gómez,1,0,18/05/2021,06:36,25555555
Acuña,0,1,17/05/2021,07:41,24036160
Dani Calvo,1,2,17/05/2021,06:35,3409009
Gazzaniga,6,1,16/05/2021,22:06,1216365
Óscar Duarte,6,5,16/05/2021,17:24,1800000
Solari,1,6,16/05/2021,06:36,2258655
Edu Expósito,1,0,16/05/2021,06:36,6001000
Felipe,1,6,16/05/2021,06:36,4182888
Kroos,0,1,15/05/2021,11:05,48567405
Kroos,1,0,14/05/2021,06:36,60638888
Víctor Díaz,2,1,14/05/2021,00:19,1041442
Mikel Rico,1,7,13/05/2021,06:35,7176586
Lemar,8,1,12/05/2021,23:01,17048504
Pablo Ínsua,8,1,12/05/2021,23:01,1008790
Enes Ünal,1,0,12/05/2021,06:35,2666666
Mosquera,1,8,12/05/2021,06:35,7300000
Óscar Duarte,5,6,11/05/2021,15:00,2000000
Dani Calvo,2,1,11/05/2021,13:05,2167025
Rubén Sobrino,2,1,11/05/2021,13:04,2618639
David García,2,1,11/05/2021,13:04,18144888
Kodro,4,1,11/05/2021,08:47,1012109
Pulido,2,1,11/05/2021,07:10,2856704
José Mari,2,1,11/05/2021,07:10,3167627
Maffeo,1,2,11/05/2021,06:36,15709009
Militao,1,2,11/05/2021,06:36,22109009
Helibelton Palacios,1,5,11/05/2021,06:36,1325000
Isco,4,1,10/05/2021,15:45,1272301
Mingueza,6,1,09/05/2021,21:29,21984594
Mosquera,7,1,09/05/2021,08:11,5988742
Soldado,7,1,09/05/2021,08:11,3680907
Pacheco,7,1,09/05/2021,08:10,10065478
Salvi,7,1,09/05/2021,08:10,8205636
Roberto Torres,1,0,09/05/2021,06:35,13333333
Kike García,1,7,09/05/2021,06:35,37500000
Rubén García,0,1,08/05/2021,23:52,37366548
Josema,6,1,08/05/2021,22:44,1212292
Chukwueze,0,1,08/05/2021,08:04,10503989
Brasanac,1,6,08/05/2021,06:34,2397549
Marcos André,6,1,07/05/2021,07:11,1024454
Blanco,6,1,07/05/2021,07:10,1044285
Brais Méndez,1,2,07/05/2021,06:37,26209009
Martín,1,8,07/05/2021,06:37,1300000
Jaime Mata,1,2,06/05/2021,06:37,7309009
Víctor Díaz,1,2,06/05/2021,06:37,1809009
Sancet,1,6,06/05/2021,06:37,1658585
Jorge Molina,1,4,05/05/2021,06:37,3000001
Kondogbia,1,0,05/05/2021,06:37,1500000
Kenedy,5,1,04/05/2021,23:10,12261850
Dani Gómez,6,1,04/05/2021,22:50,1024252
Jairo,4,1,04/05/2021,10:12,1024121
Renato Tapia,6,1,04/05/2021,08:22,22617298
Pedri,2,1,04/05/2021,07:18,62074531
Carrasco,1,5,04/05/2021,06:36,43715280
Ivi Alejo,1,4,04/05/2021,06:36,1300000
Juanmi,5,1,03/05/2021,21:36,1065071
Okazaki,5,1,03/05/2021,21:36,1025133
Pau Torres,1,6,03/05/2021,06:36,34218154
L. Suárez,1,2,02/05/2021,06:35,26709009
Foyth,2,1,01/05/2021,10:00,1653827
Gazzaniga,1,6,01/05/2021,06:35,1685585
Carlos Fernández,0,1,30/04/2021,17:18,1157786
Rochina,0,1,30/04/2021,17:18,3090097
Aitor Fernández,4,1,30/04/2021,08:02,3871503
Carvajal,0,1,30/04/2021,08:01,22160421
Rubén García,1,0,30/04/2021,06:38,36667493
Blanco,1,6,30/04/2021,06:38,1000000
Josema,1,6,30/04/2021,06:38,1075652
Jaime Seoane,2,1,30/04/2021,00:27,10207669
Roger Martí,2,4,30/04/2021,00:27,27200000
Unai Simón,6,4,28/04/2021,08:09,7000000
Laguardia,1,9,28/04/2021,06:36,5850000
Bartra,8,1,27/04/2021,19:03,1235347
Asensio,4,1,27/04/2021,13:16,27815214
Melero,1,2,27/04/2021,06:36,12209009
Álex Fdez,6,1,26/04/2021,22:51,21824312
Cheryshev,0,1,26/04/2021,07:52,1262025
Trigueros,1,8,26/04/2021,06:36,23500000
Iván Villar,1,6,26/04/2021,06:36,2174878
Jairo,1,4,25/04/2021,06:35,1400000
Unai Núñez,1,4,25/04/2021,06:35,1800000
Pablo Ínsua,1,8,25/04/2021,06:35,2500000
Joan Jordan,1,6,25/04/2021,06:35,25684877
Darwin Machís,1,2,25/04/2021,06:35,28609009
Álex Moreno,3,1,24/04/2021,08:55,11744723
Mario Hermoso,9,1,24/04/2021,07:15,21008504
Wass,1,9,24/04/2021,06:40,22600000
Mickaël Malsa,1,3,24/04/2021,06:40,15000001
Ivi Alejo,4,1,23/04/2021,09:38,1067012
Weissman,8,1,23/04/2021,08:43,4169363
Helibelton Palacios,6,1,23/04/2021,07:00,1051838
Oliveira,1,4,23/04/2021,06:39,2600000
Edgar Badía,5,1,22/04/2021,22:04,21931593
Sergio Herrera,1,5,22/04/2021,06:38,6658019
Joaquín Fernández,2,1,21/04/2021,07:38,2519804
Foyth,1,2,21/04/2021,06:38,4509009
Fede Valverde,8,1,20/04/2021,22:52,17212512
Bruno González,4,1,20/04/2021,10:12,1065494
Nacho Martínez,4,1,20/04/2021,10:12,1059241
Mandi,1,8,20/04/2021,06:37,11200000
Villalibre,4,1,18/04/2021,13:22,1690748
Torreira,4,1,18/04/2021,13:08,1044767
Asensio,1,4,18/04/2021,06:36,27600000
Sergio Herrera,2,1,18/04/2021,03:43,5056717
Dani Gómez,1,6,17/04/2021,06:36,2155258
Joel,0,1,16/04/2021,15:07,1053943
Álex Moreno,1,3,16/04/2021,06:36,12096861
Sergi Roberto,1,9,16/04/2021,06:36,6682000
Carrillo,6,1,15/04/2021,15:15,1923502
Bacca,3,1,15/04/2021,10:31,3705107
Edu Expósito,7,1,15/04/2021,07:43,5449350
Gorosabel,1,7,15/04/2021,06:36,22500000
Alejandro Pozo,2,1,15/04/2021,01:22,2960093
Joan Jordan,2,1,15/04/2021,01:20,25928421
Dani Escriche,4,1,14/04/2021,22:05,3273402
Domingos Duarte,8,1,14/04/2021,16:15,9051167
Olaza,1,4,14/04/2021,06:36,13500000
Nolito,1,8,14/04/2021,06:36,31111111
Fede Valverde,1,8,14/04/2021,06:36,16500000
Tete Morente,1,8,14/04/2021,06:36,5810000
Dest,2,1,14/04/2021,00:18,23860465
Aitor Ruibal,1,2,13/04/2021,06:35,5109009
Carvajal,1,0,13/04/2021,06:35,22555555
Mandi,6,1,12/04/2021,23:45,10646279
Lucas Vázquez,4,1,12/04/2021,07:59,30839003
Pacheco,1,7,12/04/2021,06:35,10200000
Diop,3,1,11/04/2021,18:46,1837208
David Soria,1,2,11/04/2021,06:34,5609009
Pedri,1,2,11/04/2021,06:34,56609009
Gabriel Paulista,1,6,10/04/2021,06:34,13352855
Remiro,0,1,09/04/2021,07:17,10189423
Gayá,2,1,09/04/2021,06:58,32650212
Rochina,1,0,09/04/2021,06:37,5800001
Kodro,1,4,09/04/2021,06:37,1100000
Ivi Alejo,1,4,09/04/2021,06:37,1400001
Jonsson,1,6,09/04/2021,06:37,5700000
Manu Sánchez,4,1,08/04/2021,14:05,1011005
Isco,1,4,08/04/2021,06:36,1500000
Cheryshev,1,0,08/04/2021,06:36,1222222
Perea,0,1,07/04/2021,08:03,6300431
Maffeo,6,1,07/04/2021,07:02,19096557
Vavro,1,0,07/04/2021,06:35,1333333
Nacho Martínez,1,4,07/04/2021,06:35,1200000
Mingueza,1,6,07/04/2021,06:35,20754845
Isak,8,1,06/04/2021,23:05,61000104
Bartra,4,8,06/04/2021,20:55,1750000
Lemar,1,8,06/04/2021,06:35,22000000
Joel,1,0,06/04/2021,06:35,1379655
Cillessen,2,1,06/04/2021,00:14,3760187
Quina,6,1,05/04/2021,09:46,2051179
Kang-in Lee,0,1,05/04/2021,08:39,2023386
Juan Miranda,0,1,05/04/2021,08:39,1971116
Maxi Gómez,7,1,05/04/2021,07:03,22885453
Joan Jordan,1,2,05/04/2021,06:34,24809009
Kubo,2,1,05/04/2021,02:06,14734800
Mikel Rico,8,1,03/04/2021,09:17,11975758
Dest,1,2,03/04/2021,06:34,23409009
Bartra,8,4,02/04/2021,18:32,1250000
Budimir,4,1,02/04/2021,18:28,10021482
Marcos Llorente,4,1,02/04/2021,18:27,59894824
Gabriel Paulista,2,1,02/04/2021,11:03,13979194
David Silva,2,1,02/04/2021,11:03,46229944
Ocampos,6,1,02/04/2021,10:54,64344146
Foyth,8,1,01/04/2021,23:07,2692816
Marcone,1,4,01/04/2021,07:35,3300000
Yuri,2,1,01/04/2021,02:45,19887029
Quique González,7,1,31/03/2021,18:08,991357
Sergio Ramos,0,1,31/03/2021,07:47,52516450
Yoshinori Muto,1,7,31/03/2021,07:35,1000000
Jony,2,1,31/03/2021,03:38,2242716
Oblak,2,1,31/03/2021,03:37,47303381
Sergio León,7,1,31/03/2021,00:18,982452
Perea,1,0,30/03/2021,07:34,6666666
Joaquín Fernández,1,2,30/03/2021,07:34,6209009
Gorosabel,0,1,29/03/2021,07:40,24378576
Giménez,1,0,28/03/2021,06:37,16777777
Tete Morente,8,1,27/03/2021,23:08,4287793
Aleix García,7,1,27/03/2021,08:34,1065456
Salvi,1,7,27/03/2021,06:37,10100000
Pulido,1,2,27/03/2021,06:37,2509009
